iter	Passed	Remaining
399	60702	15175
400	60844	15021
401	61023	14876
402	61195	14729
403	61367	14582
404	61506	14427
405	61703	14285
406	61879	14139
407	62064	13994
408	62266	13853
409	62499	13719
410	62681	13573
411	62855	13425
412	63065	13284
413	63232	13135
414	63386	12982
415	63567	12835
416	63717	12682
417	63905	12536
418	64046	12381
419	64200	12228
420	64364	12077
421	64522	11925
422	64682	11774
423	64877	11628
424	65054	11480
425	65228	11330
426	65368	11175
427	65558	11028
428	65719	10876
429	65892	10726
430	66077	10578
431	66221	10423
432	66371	10270
433	66560	10122
434	66715	9969
435	66896	9819
436	67095	9672
437	67248	9519
438	67400	9365
439	67545	9210
440	67692	9056
441	67862	8905
442	68012	8750
443	68181	8599
444	68335	8445
445	68485	8291
446	68668	8141
447	68810	7986
448	68973	7834
449	69182	7686
450	69336	7533
451	69469	7377
452	69652	7226
453	69792	7071
454	69977	6920
455	70118	6765
456	70285	6613
457	70441	6459
458	70601	6306
459	70760	6153
460	70935	6001
461	71136	5851
462	71292	5697
463	71493	5546
464	71651	5393
465	71815	5239
466	71988	5087
467	72154	4933
468	72305	4779
469	72471	4625
470	72649	4473
471	72828	4320
472	72972	4165
473	73142	4012
474	73328	3859
475	73484	3705
476	73628	3550
477	73782	3395
478	73885	3239
479	74043	3085
480	74205	2931
481	74378	2777
482	74574	2624
483	74754	2471
484	74945	2317
485	75089	2163
486	75286	2009
487	75432	1854
488	75592	1700
489	75734	1545
490	75879	1390
491	76024	1236
492	76224	1082
493	76383	927
494	76541	773
495	76723	618
496	76879	464
497	77035	309
498	77198	154
499	77397	0
