iter	RMSE
302	208.2979859
303	208.1989354
304	208.1699063
305	208.0210257
306	207.9113192
307	207.8465697
308	207.7743829
309	207.6429377
310	207.5157745
311	207.4442749
312	207.3486615
313	207.2405562
314	207.1083615
315	206.9050502
316	206.8229531
317	206.727279
318	206.5693291
319	206.4823863
320	206.2440841
321	206.0689418
322	205.8990687
323	205.6221799
324	205.4301652
325	205.3102024
326	205.1843741
327	205.0904297
328	204.9906031
329	204.8773227
330	204.7912115
331	204.737208
332	204.6605861
333	204.5204919
334	204.4157007
335	204.3017325
336	204.2168716
337	204.1452569
338	204.0377889
339	203.8726658
340	203.6926501
341	203.5990516
342	203.5136979
343	203.3663402
344	203.28231
345	203.1826629
346	203.028865
347	202.923734
348	202.7843128
349	202.6961402
350	202.5844123
351	202.4443131
352	202.3538967
353	202.2238037
354	202.1435605
355	202.1229433
356	202.0209861
357	201.9469472
358	201.8510277
359	201.7339776
360	201.5252277
361	201.4046201
362	201.3233969
363	201.1807439
364	201.0687015
365	200.9876164
366	200.7754941
367	200.7018098
368	200.5381194
369	200.4220605
370	200.2546725
371	200.1659427
372	200.0516494
373	199.9808953
374	199.8855779
375	199.7980753
376	199.7213227
377	199.6344257
378	199.6068972
379	199.5189203
380	199.5005134
381	199.3986209
382	199.2969747
383	199.2091891
384	199.1055816
385	199.0250471
386	198.9458747
387	198.8384854
388	198.821364
389	198.6961617
390	198.6283139
391	198.5574091
392	198.4567983
393	198.3925528
394	198.2805664
395	198.2643565
396	198.1805774
397	198.0280598
398	197.9259345
399	197.8105494
400	197.7237367
401	197.5696737
402	197.4891144
403	197.4058548
404	197.308661
405	197.2304943
406	197.1687711
407	197.091376
408	196.9570534
409	196.8678516
410	196.7474896
411	196.6729543
412	196.6128876
413	196.517071
414	196.3298036
415	196.2389287
416	196.1220359
417	196.0249115
418	195.9587221
419	195.8880887
420	195.8053897
421	195.7258539
422	195.6450443
423	195.5954553
424	195.5390629
425	195.299536
426	195.2061799
427	195.1465461
428	195.0758509
429	194.9728116
430	194.8691601
431	194.784195
432	194.6376511
433	194.5420199
434	194.4933399
435	194.3361443
436	194.2626212
437	194.1755721
438	194.0884328
439	194.0168813
440	193.8976654
441	193.8106331
442	193.7133442
443	193.6358779
444	193.4581882
445	193.3692771
446	193.292876
447	193.2209459
448	193.1529862
449	193.0900418
450	192.8990142
451	192.8229079
452	192.7489446
453	192.581629
454	192.5138113
455	192.4551965
456	192.4116088
457	192.3404827
458	192.1935293
459	192.112741
460	192.0078862
461	191.9050075
462	191.8259043
463	191.7398192
464	191.6295765
465	191.5500602
466	191.4871744
467	191.4207537
468	191.3434827
469	191.2148137
470	191.1479362
471	191.0860244
472	191.0153901
473	190.9672142
474	190.9019552
475	190.7909804
476	190.7414085
477	190.6613372
478	190.6502929
479	190.5798514
480	190.4983465
481	190.2677027
482	190.1586485
483	190.1196524
484	190.0481104
485	189.9279425
486	189.8194683
487	189.7367818
488	189.6086222
489	189.494636
490	189.4125336
491	189.3620238
492	189.2624016
493	189.1910794
494	189.1118533
495	188.8937993
496	188.7785382
497	188.728424
498	188.6632607
499	188.5982964
