,MAE,RMSE,MAPE,RMSLE
linear,106.97294446177466,365.85973272254466,978.0641384919568,1.1887610958683075
xgboost,61.414901965769545,248.25176227321396,198.28860866096852,0.6452670947268163
lightgbm,67.15486956492072,254.2844041706059,191.75827975568717,0.8272870185520677
catboost,68.60254569175227,253.50685292500287,264.84399130045784,0.8637843655611203
